order_id,order_name,order_date,price,cogs,sku,campaign_name,adset_name,ad_name,channel,attribution_source
gid://shopify/Order/6337189904473,TC-001/25-26/4867,2025-07-01 11:23:37,549.0,196.0,TH-010-PETWIP,TH-068-WILD,Adventure Trekkers,TH-068-WILD_VP001_ET101,Direct/Unknown,customer_journey
gid://shopify/Order/6337227194457,TC-001/25-26/4868,2025-07-01 12:09:57,2698.0,936.0,"TH-037-MISTBRU, TH-068-WILD-M",TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,Instagram,customer_journey
gid://shopify/Order/6337256292441,TC-001/25-26/4869,2025-07-01 12:46:10,1799.0,682.0,TH-068-WILD-S,TH-053-JACKET,Urban Pet Parents,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6337257078873,TC-001/25-26/4870,2025-07-01 12:47:28,2199.0,826.0,TH-068-WILD-XXL,TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6337309540441,TC-001/25-26/4871,2025-07-01 13:44:21,1799.0,682.0,TH-068-WILD-S,Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,customer_journey
gid://shopify/Order/6337381302361,TC-001/25-26/4872,2025-07-01 15:12:01,2099.0,1121.0,TH-073-SMARTSIP,TH-073-SMARTSIP,ICP Pet Parent,TH-073-SMARTSIP_VP048_ET122,Instagram,customer_journey
gid://shopify/Order/6337414922329,TC-001/25-26/4873,2025-07-01 16:03:38,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Direct/Unknown,customer_journey
gid://shopify/Order/6337440251993,TC-001/25-26/4874,2025-07-01 16:34:32,919.0,354.0,TH-003-NTTOSH,Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,customer_journey
gid://shopify/Order/6337451622489,TC-001/25-26/4875,2025-07-01 16:46:16,1599.0,582.0,TH-063-SILBOO-L,TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Facebook,customer_journey
gid://shopify/Order/6337510867033,TC-001/25-26/4876,2025-07-01 17:50:09,1899.0,725.0,TH-068-WILD-M,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6337582989401,TC-001/25-26/4878,2025-07-01 18:50:09,2399.0,832.0,TH-053-COAT-XXL,TH-053-JACKET – Life Time,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6337597046873,TC-001/25-26/4879,2025-07-01 19:00:10,2499.0,879.0,TH-053-COAT-XXXL,TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6337600225369,TC-001/25-26/4880,2025-07-01 19:02:57,1999.0,988.0,TH-056-UMB,TH-056-UMB,ICP Pet Parent,TH-056-UMB_ET139_VP007,Facebook,customer_journey
gid://shopify/Order/6337617100889,TC-001/25-26/4881,2025-07-01 19:15:14,2199.0,826.0,TH-068-WILD-XXL,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6337633353817,TC-001/25-26/4882,2025-07-01 19:26:59,1399.0,541.0,TH-063-SILBOO-S,TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6337730150489,TC-001/25-26/4883,2025-07-01 20:27:30,1999.0,751.0,TH-068-WILD-L,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6337742864473,TC-001/25-26/4884,2025-07-01 20:35:25,1699.0,473.0,TH-053-COAT-S,TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6337814593625,TC-001/25-26/4885,2025-07-01 21:18:54,799.0,211.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Facebook,customer_journey
gid://shopify/Order/6337829732441,TC-001/25-26/4886,2025-07-01 21:28:26,2898.0,1332.0,"TH-037-MISTBRU, TH-073-SMARTSIP",,,,Direct/Unknown,
gid://shopify/Order/6337846149209,TC-001/25-26/4887,2025-07-01 21:38:22,2699.0,1673.0,TH-075-NAPDEN-L,TH-075-NAPDEN,Luxury Buyers,TH-075-NAPDEN_SI223_VP031,Instagram,customer_journey
gid://shopify/Order/6337876590681,TC-001/25-26/4888,2025-07-01 21:57:53,2099.0,1121.0,TH-073-SMARTSIP,TH-073-SMARTSIP,Cat Lover,TH-073-SMARTSIP_VP048_ET122,Instagram,customer_journey
gid://shopify/Order/6337950646361,TC-001/25-26/4890,2025-07-01 22:42:02,2999.0,1015.0,TH-064-LITTER,,,,Direct/Unknown,
gid://shopify/Order/6338129264729,TC-001/25-26/4892,2025-07-02 00:37:20,1799.0,682.0,TH-068-WILD-S,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6338583101529,TC-001/25-26/4895,2025-07-02 06:15:50,1599.0,818.0,TH-012-SNUGBOO-M,,,,Direct/Unknown,
gid://shopify/Order/6338598371417,TC-001/25-26/4896,2025-07-02 06:28:48,2199.0,743.0,TH-053-COAT-XL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6338621440089,TC-001/25-26/4897,2025-07-02 06:48:05,2399.0,832.0,TH-053-COAT-XXL,,,,Direct/Unknown,
gid://shopify/Order/6338706800729,TC-001/25-26/4898,2025-07-02 08:03:53,1099.0,397.0,TH-038-PAWTR,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338723381337,TC-001/25-26/4899,2025-07-02 08:19:28,1099.0,397.0,TH-038-PAWTR,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338731081817,TC-001/25-26/4900,2025-07-02 08:27:08,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Direct/Unknown,customer_journey
gid://shopify/Order/6338752905305,TC-001/25-26/4901,2025-07-02 08:49:56,2099.0,788.0,TH-068-WILD-XL,TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6338786230361,TC-001/25-26/4902,2025-07-02 09:26:04,2199.0,826.0,TH-068-WILD-XXL,,,,Direct/Unknown,
gid://shopify/Order/6338797207641,TC-001/25-26/4904,2025-07-02 09:37:49,2399.0,832.0,TH-053-COAT-XXL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6338807332953,TC-001/25-26/4905,2025-07-02 09:46:44,598.0,396.0,TH-006-FLEBRU,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338834137177,TC-001/25-26/4906,2025-07-02 10:01:48,1799.0,831.0,TH-075-NAPDEN-S,TH-075-NAPDEN,ICP Pet Parent,TH-075-NAPDEN_SI223_VP031,Instagram,customer_journey
gid://shopify/Order/6338843443289,TC-001/25-26/4907,2025-07-02 10:13:35,4398.0,1569.0,"TH-053-COAT-XL, TH-068-WILD-XXL",TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6338846556249,TC-001/25-26/4908,2025-07-02 10:17:36,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6338852356185,TC-001/25-26/4909,2025-07-02 10:24:10,899.0,735.0,TH-066-SCOOP,,,,Direct/Unknown,
gid://shopify/Order/6338872672345,TC-001/25-26/4912,2025-07-02 10:50:10,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6338950299737,TC-001/25-26/4913,2025-07-02 12:52:36,2698.0,1215.0,"TH-038-PAWTR, TH-012-SNUGBOO-M",TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6338950594649,TC-001/25-26/4914,2025-07-02 12:53:09,2918.0,1105.0,"TH-068-WILD-L, TH-002-SKMISH",Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338957377625,TC-001/25-26/4915,2025-07-02 13:06:06,2099.0,1121.0,TH-073-SMARTSIP,TH-073-SMARTSIP,Cat Lover,TH-073-SMARTSIP_VP048_ET122,Facebook,customer_journey
gid://shopify/Order/6338962489433,TC-001/25-26/4916,2025-07-02 13:13:53,2099.0,1121.0,TH-073-SMARTSIP,,,,Direct/Unknown,
gid://shopify/Order/6338963210329,TC-001/25-26/4917,2025-07-02 13:15:07,2099.0,788.0,TH-068-WILD-XL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338979692633,TC-001/25-26/4918,2025-07-02 13:35:03,1999.0,751.0,TH-068-WILD-L,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6338997452889,TC-001/25-26/4919,2025-07-02 13:42:38,1799.0,682.0,TH-068-WILD-S,TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Direct/Unknown,customer_journey
gid://shopify/Order/6339003088985,TC-001/25-26/4920,2025-07-02 13:45:07,1999.0,950.0,TH-072-AEROPOD-PINK,TH-072-AEROPOD,Frequent Travellers,TH-072-AEROPOD_ET113_IM253,Instagram,customer_journey
gid://shopify/Order/6339026518105,TC-001/25-26/4921,2025-07-02 14:18:45,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6339079995481,TC-001/25-26/4922,2025-07-02 15:41:09,1799.0,682.0,TH-068-WILD-S,TH-068-WILD - Alternate Twin,Luxury Spenders,TH-068-WILD_VP001_ET101,Instagram,customer_journey
gid://shopify/Order/6339091562585,TC-001/25-26/4923,2025-07-02 15:54:20,2499.0,879.0,TH-053-COAT-XXXL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6339131244633,TC-001/25-26/4924,2025-07-02 16:41:57,2099.0,788.0,TH-068-WILD-XL,,,,Direct/Unknown,
gid://shopify/Order/6339142811737,TC-001/25-26/4925,2025-07-02 16:53:47,1899.0,725.0,TH-068-WILD-M,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6339145859161,TC-001/25-26/4926,2025-07-02 16:58:01,1999.0,1059.0,TH-075-NAPDEN-M,TH-075-NAPDEN,Luxury Buyers,TH-075-NAPDEN_SI223_VP031,Instagram,customer_journey
gid://shopify/Order/6339184689241,TC-001/25-26/4927,2025-07-02 17:39:31,1799.0,682.0,TH-068-WILD-S,,,,Direct/Unknown,
gid://shopify/Order/6339244720217,TC-001/25-26/4928,2025-07-02 18:35:50,2499.0,879.0,TH-053-COAT-XXXL,TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6339266379865,TC-001/25-26/4929,2025-07-02 18:53:01,1899.0,725.0,TH-068-WILD-M,Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,customer_journey
gid://shopify/Order/6339281158233,TC-001/25-26/4930,2025-07-02 19:06:17,2199.0,826.0,TH-068-WILD-XXL,TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6339291676761,TC-001/25-26/4931,2025-07-02 19:14:52,1099.0,397.0,TH-038-PAWTR,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6339354591321,TC-001/25-26/4932,2025-07-02 20:03:06,1999.0,751.0,TH-068-WILD-L,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6339383001177,TC-001/25-26/4933,2025-07-02 20:21:32,2099.0,1121.0,TH-073-SMARTSIP,TH-073-SMARTSIP,ICP Pet Parent,TH-073-SMARTSIP_VP048_ET122,Instagram,customer_journey
gid://shopify/Order/6339402760281,TC-001/25-26/4934,2025-07-02 20:32:41,2199.0,826.0,TH-068-WILD-XXL,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6339539370073,TC-001/25-26/4938,2025-07-02 22:01:24,799.0,211.0,TH-037-MISTBRU,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6339550085209,TC-001/25-26/4939,2025-07-02 22:07:28,1799.0,652.0,TH-063-SILBOO-XXL,TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6339648192601,TC-001/25-26/4941,2025-07-02 23:08:09,2199.0,743.0,TH-053-COAT-XL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6339727229017,TC-001/25-26/4942,2025-07-03 00:01:52,1899.0,657.0,TH-053-COAT-L,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Direct/Unknown,customer_journey
gid://shopify/Order/6339870097497,TC-001/25-26/4943,2025-07-03 01:36:58,1999.0,751.0,TH-068-WILD-L,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340036755545,TC-001/25-26/4945,2025-07-03 03:34:53,2099.0,788.0,TH-068-WILD-XL,,,,Direct/Unknown,
gid://shopify/Order/6340320460889,TC-001/25-26/4946,2025-07-03 07:36:42,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340321214553,TC-001/25-26/4947,2025-07-03 07:37:25,2199.0,826.0,TH-068-WILD-XXL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340379312217,TC-001/25-26/4949,2025-07-03 08:32:10,1799.0,682.0,TH-068-WILD-S,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340401234009,TC-001/25-26/4951,2025-07-03 08:54:39,1899.0,725.0,TH-068-WILD-M,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340422238297,TC-001/25-26/4952,2025-07-03 09:16:09,2099.0,788.0,TH-068-WILD-XL,,,,Direct/Unknown,
gid://shopify/Order/6340423909465,TC-001/25-26/4953,2025-07-03 09:18:08,1599.0,582.0,TH-063-SILBOO-L,TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6340448976985,TC-001/25-26/4954,2025-07-03 09:43:19,1499.0,560.0,TH-063-SILBOO-M,TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6340472733785,TC-001/25-26/4955,2025-07-03 09:55:37,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340498391129,TC-001/25-26/4956,2025-07-03 10:22:59,2199.0,826.0,TH-068-WILD-XXL,TH-068-WILD – HARDSCALE,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340514807897,TC-001/25-26/4957,2025-07-03 10:39:20,2699.0,1673.0,TH-075-NAPDEN-L,,,,Direct/Unknown,
gid://shopify/Order/6340522180697,TC-001/25-26/4958,2025-07-03 10:50:55,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340524769369,TC-001/25-26/4959,2025-07-03 10:54:19,2099.0,788.0,TH-068-WILD-XL,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6340554293337,TC-001/25-26/4960,2025-07-03 11:36:20,2199.0,826.0,TH-068-WILD-XXL,,,,Direct/Unknown,
gid://shopify/Order/6340555014233,TC-001/25-26/4961,2025-07-03 11:37:23,2099.0,788.0,TH-068-WILD-XL,,,,Direct/Unknown,
gid://shopify/Order/6340562813017,TC-001/25-26/4962,2025-07-03 11:49:16,2099.0,788.0,TH-068-WILD-XL,Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,customer_journey
gid://shopify/Order/6340575002713,TC-001/25-26/4963,2025-07-03 12:09:06,1799.0,682.0,TH-068-WILD-S,,,,Direct/Unknown,
gid://shopify/Order/6340587683929,TC-001/25-26/4964,2025-07-03 12:24:13,2199.0,826.0,TH-068-WILD-XXL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340594892889,TC-001/25-26/4965,2025-07-03 12:34:51,549.0,196.0,TH-010-PETWIP,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340605476953,TC-001/25-26/4966,2025-07-03 12:48:05,799.0,211.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Instagram,customer_journey
gid://shopify/Order/6340616585305,TC-001/25-26/4967,2025-07-03 13:03:38,2099.0,1121.0,TH-073-SMARTSIP,TH-073-SMARTSIP,ICP Pet Parent,TH-073-SMARTSIP_VP048_ET122,Instagram,customer_journey
gid://shopify/Order/6340657283161,TC-001/25-26/4968,2025-07-03 13:41:31,1099.0,397.0,TH-038-PAWTR,TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,Instagram,customer_journey
gid://shopify/Order/6340683530329,TC-001/25-26/4969,2025-07-03 14:10:03,1198.0,405.0,"TH-008-CLIBRU, TH-037-MISTBRU",TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6340701913177,TC-001/25-26/4971,2025-07-03 14:38:53,1699.0,473.0,TH-053-COAT-S,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6340722163801,TC-001/25-26/4972,2025-07-03 15:12:38,799.0,211.0,TH-037-MISTBRU,TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,Instagram,customer_journey
gid://shopify/Order/6340726358105,TC-001/25-26/4973,2025-07-03 15:18:48,799.0,211.0,TH-037-MISTBRU,Unknown Campaign - Facebook,Unknown Adset - Facebook,Unknown Ad - Facebook,Facebook,customer_journey
gid://shopify/Order/6340741234777,TC-001/25-26/4974,2025-07-03 15:40:11,2199.0,743.0,TH-053-COAT-XL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6340749066329,TC-001/25-26/4975,2025-07-03 15:52:52,1999.0,988.0,TH-056-UMB,TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,Instagram,customer_journey
gid://shopify/Order/6340768137305,TC-001/25-26/4976,2025-07-03 16:19:46,2199.0,826.0,TH-068-WILD-XXL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6340841046105,TC-001/25-26/4977,2025-07-03 17:40:04,3898.0,1476.0,"TH-068-WILD-L, TH-068-WILD-M",,,,Direct/Unknown,
gid://shopify/Order/6340850188377,TC-001/25-26/4978,2025-07-03 17:49:45,1899.0,657.0,TH-053-COAT-L,TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6340868341849,TC-001/25-26/4979,2025-07-03 18:07:47,1799.0,545.0,TH-053-COAT-M,,,,Direct/Unknown,
gid://shopify/Order/6340919722073,TC-001/25-26/4982,2025-07-03 18:48:26,2399.0,832.0,TH-053-COAT-XXL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6340980572249,TC-001/25-26/4983,2025-07-03 19:31:48,2699.0,1673.0,TH-075-NAPDEN-L,TH-075-NAPDEN,Urban Pet Parents,TH-075-NAPDEN_SI223_VP031,Instagram,customer_journey
gid://shopify/Order/6340996071513,TC-001/25-26/4984,2025-07-03 19:42:47,4698.0,1705.0,"TH-053-COAT-XXXL, TH-068-WILD-XXL",TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,Instagram,customer_journey
gid://shopify/Order/6341034967129,TC-001/25-26/4985,2025-07-03 20:09:31,1699.0,615.0,TH-063-SILBOO-XL,TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6341065015385,TC-001/25-26/4986,2025-07-03 20:25:41,1996.0,784.0,TH-010-PETWIP,,,,Direct/Unknown,
gid://shopify/Order/6341098078297,TC-001/25-26/4987,2025-07-03 20:44:45,4298.0,1531.0,"TH-053-COAT-XL, TH-068-WILD-XL",TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6341177245785,TC-001/25-26/4989,2025-07-03 21:32:37,1999.0,751.0,TH-068-WILD-L,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6341193564249,TC-001/25-26/4990,2025-07-03 21:42:27,2199.0,826.0,TH-068-WILD-XXL,TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6341195169881,TC-001/25-26/4991,2025-07-03 21:43:34,2399.0,832.0,TH-053-COAT-XXL,TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Facebook,customer_journey
gid://shopify/Order/6341224464473,TC-001/25-26/4993,2025-07-03 22:02:25,5497.0,2089.0,"TH-068-WILD-S, TH-068-WILD-M",TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6341236719705,TC-001/25-26/4994,2025-07-03 22:09:49,1999.0,751.0,TH-068-WILD-L,TH-068-WILD – Life Time,ICP Pet Parent,TH-068-WILD_VP001_ET101,Facebook,customer_journey
gid://shopify/Order/6341251104857,TC-001/25-26/4995,2025-07-03 22:17:35,2099.0,788.0,TH-068-WILD-XL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6341276565593,TC-001/25-26/4997,2025-07-03 22:31:55,1999.0,988.0,TH-056-UMB,TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,Instagram,customer_journey
gid://shopify/Order/6341325422681,TC-001/25-26/4998,2025-07-03 23:01:45,3915.0,1635.0,"TH-063-SILBOO-XS, TH-037-MISTBRU, TH-002-SKMISH, TH-016-SIPBOT, TH-008-CLIBRU",TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,Instagram,customer_journey
gid://shopify/Order/6341397872729,TC-001/25-26/4999,2025-07-03 23:45:36,2199.0,826.0,TH-068-WILD-XXL,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6341467406425,TC-001/25-26/5000,2025-07-04 00:28:26,1499.0,560.0,TH-063-SILBOO-M,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
gid://shopify/Order/6341512069209,TC-001/25-26/5001,2025-07-04 00:57:24,1899.0,725.0,TH-068-WILD-M,Unknown Campaign - Google,Unknown Adset - Google,Unknown Ad - Google,Google,customer_journey
